ClassUtil,Statement_Coverage,Branch_Coverage,CC,LOC,,,Mutation_Score
PageNameTag,0,0,4,8,PageNameTag.java,0,0
PageSizeTag,0,0,6,15,PageSizeTag.java,0,0
PageTypeTag,0,0,12,15,PageTypeTag.java,0,0
PageVersionTag,0,0,4,8,PageVersionTag.java,0,0
ParamTag,0,0,11,19,ParamTag.java,0,0
ParentPageNameTag,0,0,6,15,ParentPageNameTag.java,0,0
PermissionTag,0,0,26,49,PermissionTag.java,0,0
PluginTag,0,0,12,35,PluginTag.java,0,0
PreviousVersionTag,0,0,3,7,PreviousVersionTag.java,0,0
RequestResourceTag,0,0,9,13,RequestResourceTag.java,0,0
RSSImageLinkTag,0,0,11,27,RSSImageLinkTag.java,0,0
SearchResultIteratorTag,0,0,16,40,SearchResultIteratorTag.java,0,0
SearchResultsSizeTag,0,0,3,5,SearchResultsSizeTag.java,0,0
SearchResultsTag,0,0,4,10,SearchResultsTag.java,0,0
SetPaginationTag,0,0,35,90,SetPaginationTag.java,0,0
TabbedSectionTag,0,0,22,51,TabbedSectionTag.java,0,0
TabTag,0,0,22,59,TabTag.java,0,0
TranslateTag,0,0,4,16,TranslateTag.java,0,0
UploadLinkTag,0,0,6,13,UploadLinkTag.java,0,0
UserCheckTag,0,0,26,50,UserCheckTag.java,0,0
UserNameTag,0,0,5,13,UserNameTag.java,0,0
UserProfileTag,0,0,41,80,UserProfileTag.java,0,0
VariableTag,0,0,8,28,VariableTag.java,0,0
WikiBodyTag,0,0,6,12,WikiBodyTag.java,0,0
WikiLinkTag,0,0,10,21,WikiLinkTag.java,0,0
WikiTagBase,0,0,10,21,WikiTagBase.java,0,0
AbstractCommand,0.83,0.68,22,38,AbstractCommand.java,0.89,0.89
CommandResolver,0.95,0.9,52,124,CommandResolver.java,0.94,0.98
Editor,0,0,9,18,Editor.java,0,0
EditorManager,0.35,0.16,19,48,EditorManager.java,0.47,0.38
GroupCommand,0.81,0.5,10,17,GroupCommand.java,0.71,0.67
InputValidator,0.78,0.73,20,38,InputValidator.java,0.82,0.63
Installer,0,0,23,104,Installer.java,0,0
PageCommand,0.9,0.5,10,28,PageCommand.java,0.82,0.67
RedirectCommand,0.64,0.33,8,11,RedirectCommand.java,0.45,0.43
TemplateManager,0,0,70,172,TemplateManager.java,0.02,0
WikiCommand,0.95,0.75,10,25,WikiCommand.java,0.92,0.86
WikiJSPFilter,0,0,18,66,WikiJSPFilter.java,0,0
WikiRequestWrapper,0.12,0,13,23,WikiRequestWrapper.java,0.13,0
WikiServletFilter,0.54,0.66,16,48,WikiServletFilter.java,0.53,0.46
DefaultAdminBeanManager,0.58,0.45,30,98,DefaultAdminBeanManager.java,0.54,0.64
SimpleAdminBean,0.05,0,7,22,SimpleAdminBean.java,0.18,0
ModuleBean,0.98,0.66,10,22,ModuleBean.java,1,0.88
PlainEditorAdminBean,0.27,0,16,25,PlainEditorAdminBean.java,0.32,0.29
SearchManagerBean,0.29,0,12,22,SearchManagerBean.java,0.19,0.2
UserBean,0.07,0,13,45,UserBean.java,0.13,0.13
ProgressManager,0.21,0,8,18,ProgressManager.java,0.16,0.08
DefaultURLConstructor,0.79,0.54,22,40,DefaultURLConstructor.java,0.75,0.63
ShortURLConstructor,0.36,0.34,39,69,ShortURLConstructor.java,0.43,0.33
ShortViewURLConstructor,0.77,0.65,15,19,ShortViewURLConstructor.java,0.84,0.59
ByteUtils,0.8,0.63,16,23,ByteUtils.java,0.83,0.85
ClassUtil,0.78,0.79,33,111,ClassUtil.java,0.79,0.72
CommentedProperties,0.74,0.5,27,66,CommentedProperties.java,0.67,0.82
CryptoUtil,0.85,0.67,21,58,CryptoUtil.java,0.82,0.83
FileUtil,0.46,0.25,21,79,FileUtil.java,0.58,0.46
FormUtil,0,0,22,44,FormUtil.java,0,0
HttpUtil,0.23,0.21,28,46,HttpUtil.java,0.25,0.32
MailUtil,0.54,0.4,26,81,MailUtil.java,0.69,0.74
PriorityList,0.9,1,7,16,PriorityList.java,0.88,0.78
PropertiesUtils,0,0,19,48,PropertiesUtils.java,0,0
PropertyReader,0.42,0.52,33,113,PropertyReader.java,0.46,0.43
TextUtil,0.88,0.83,112,222,TextUtil.java,0.88,0.86
TimedCounterList,0.59,0.87,13,47,TimedCounterList.java,0.62,0.43
XhtmlUtil,0.42,0.26,25,43,XhtmlUtil.java,0.41,0.43
XmlUtil,0.71,1,8,32,XmlUtil.java,0.76,1
CollatorComparator,0.6,0.5,8,16,CollatorComparator.java,0.5,0.43
HumanComparator,0.8,0.73,53,92,HumanComparator.java,0.84,0.77
JavaNaturalComparator,0.76,0.5,6,9,JavaNaturalComparator.java,0.67,0.57
PageTimeComparator,0.51,0.6,8,17,PageTimeComparator.java,0.65,0.7
AbstractStep,0.78,0.62,27,52,AbstractStep.java,0.85,0.74
Decision,0.92,0.83,17,33,Decision.java,0.94,0.94
DecisionQueue,0.96,0.81,16,34,DecisionQueue.java,0.97,1
Outcome,0.89,0.75,14,27,Outcome.java,0.89,0.81
Workflow,0.93,0.88,65,142,Workflow.java,0.92,0.88
WorkflowBuilder,1,0.88,13,37,WorkflowBuilder.java,1,1
WorkflowManager,0.66,0.47,35,75,WorkflowManager.java,0.69,0.71
AbstractRPCHandler,0.25,0.12,9,22,AbstractRPCHandler.java,0.32,0.1
MetaWeblogHandler,0,0,19,113,MetaWeblogHandler.java,0,0
RPCHandler,0.69,0.61,31,100,RPCHandler.java,0.73,0.54
RPCHandlerUTF8,0,0,26,91,RPCHandlerUTF8.java,0,0
RPCServlet,0,0,8,42,RPCServlet.java,0,0
